place_id,place_name,lat,lng,num_of_rack,datetime_start,datetime_end
514,Károlyi utca,47.4912973832,19.0582430363,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
515,Fővám tér,47.4871505067,19.057213068,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
516,Ferenciek tere,47.4925370328,19.0566176176,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
517,Városháza Park,47.4970676666,19.055120945,25.5,2015-01-01 00:00:01,2015-05-31 23:55:03
518,Deák tér,47.4978541448,19.0535491705,16.5,2015-01-01 00:00:01,2015-05-31 23:55:03
601,Teréz körút - Király utca ,47.5035693492,19.0655601025,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
602,Hősök tere,47.5142370322,19.0766644478,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
603,Nyugati pályaudvar,47.5112659525,19.0574920177,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
604,Kodály körönd,47.5092948019,19.0691006184,18.0,2015-01-01 00:00:01,2015-05-31 23:55:03
605,Teréz körút - Szondi utca,47.5077439181,19.0595519543,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
606,Lövölde tér,47.5077910251,19.0728986263,16.0,2015-01-01 00:00:01,2015-05-31 23:55:03
607,Oktogon,47.5057581403,19.0638327599,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
608,Jókai utca - Zichy Jenő utca,47.5064611432,19.0600562096,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
609,Andrássy út - Nagymező utca,47.5034280168,19.0607964993,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
610,Andrássy út - Káldy Gyula utca,47.5006882681,19.056724906,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
611,Nyugati tér,47.509849195133334,19.055408835433333,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
612,Városligeti fasor - Dózsa György út,47.511135511,19.0803337097,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
701,Gozsdu udvar,47.4987348414,19.0594768524,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
702,Dózsa György út - Dembinszky utca,47.5079178513,19.0841639042,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
703,Garay tér,47.5044898122,19.0854084492,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
704,Klauzál tér,47.5002678707,19.0637040138,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
705,Erzsébet körút - Wesselényi utca,47.5006049137,19.068403244,21.0,2015-01-01 00:00:01,2015-05-31 23:55:03
706,Rózsák tere,47.5014819402,19.0752911568,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
707,Kéthly Anna tér,47.4981404634,19.065527916,16.666666666666668,2015-01-01 00:00:01,2015-05-31 23:55:03
708,Wesselényi utca - Síp utca,47.4970386718,19.0620732307,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
709,Rumbach Sebestyén utca - BKK,47.4984304048,19.0572720766,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
801,Gyulai Pál utca - Rákóczi út,47.4958272251,19.0667319819,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
802,Astoria,47.4942152251,19.0603512526,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
803,Kőfaragó utca - Vas utca,47.4937331581,19.066799283,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
804,Rákóczi tér,47.4927545121,19.0713107586,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
805,Bródy Sándor utca - Múzeum körút,47.4919607081,19.0623307228,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
806,József körút - Baross utca,47.48955385,19.0705007315,18.0,2015-01-01 00:00:01,2015-05-31 23:55:03
807,Mikszáth Kálmán tér,47.4897459678,19.0665310621,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
808,Keleti pályaudvar,47.5009020896,19.0831124783,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
809,Blaha Lujza tér,47.4963500402,19.0700232983,20.0,2015-01-01 00:00:01,2015-05-31 23:55:03
901,Markusovszky tér,47.4864037441,19.0656620264,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
902,Üllői út - Ferenc Körút ,47.4858237271,19.0694224834,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
903,Corvinus Egyetem,47.4848195573,19.0597397089,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
904,Boráros tér,47.4795808879,19.0661180019,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
905,Kálvin tér,47.4897314683,19.0613865852,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1101,Szent Gellért tér,47.4845041643,19.0534579754,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1102,Műegyetem,47.4815966592,19.0568161011,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1103,Gárdonyi tér,47.4792799657,19.051489234,14.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1104,Petőfi híd - Buda,47.4764156808,19.0589940548,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1105,Kőrösy József utca,47.4759842116,19.0484905243,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1106,Budafoki út - Schönherz Kollégium,47.473264787,19.0526533127,32.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1107,Móricz Zsigmond körtér,47.4771299538,19.0475893021,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1108,Pázmány Péter sétány - ELTE,47.473243031,19.0635967255,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1301,Jászai Mari tér,47.5136029744,19.0480720997,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1302,Szent István park,47.518182510900004,19.0516099334,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1303,Váci út - Victor Hugo utca,47.5174977798,19.0600079298,16.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1304,Margitsziget ,47.5183491638,19.0448212624,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1305,Pannónia utca - Raoul Wallenberg utca,47.5144906532,19.0525352955,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1401,Széchenyi fürdő,47.5188454963,19.0813207626,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
